#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
# fixes some failed installs on steamdeck, but not all, so some manual installs are still needed
,ncurses, "for urlview"
,urlview, "for tmux-urlview"
,yazi-nightly-bin, "doesn't compile on steamdeck"
,neovim-nightly-bin, "needa extra install because of old nvim replace"
,google-chrome-stable
,ttf-sourcecodepro-nerd
,yad, "steamtinker tools"
,xdotools, "steamtinker tools"
,xorg-xwininfo, "steamtinker tools"
,xxd, "steamtinker tools"
